nombre,tipo,ciudad,barrio,link,Precio,Área,Baños,Habitaciones,Entrega,Parqueaderos,Estudio,cuarto_util
St Laurent,Apartamentos,Envigado,Transversal Intermedia,https://www.informeinmobiliario.com/apartamentos-venta-envigado-transversal-intermedia/proyecto/654,$ 906.992.000,98.0,3,3,2024,2,1,Si
St Laurent,Apartamentos,Envigado,Transversal Intermedia,https://www.informeinmobiliario.com/apartamentos-venta-envigado-transversal-intermedia/proyecto/654,$ 1.016.917.000,110.0,3,3,2024,1,1,Si
Coral Living,Apartamentos,Envigado,Barrio Mesa,https://www.informeinmobiliario.com/apartamentos-venta-envigado-barrio-mesa/proyecto/901,$ 903.660.000,94.0,2,2,2025,2,1,Si
Coral Living,Apartamentos,Envigado,Barrio Mesa,https://www.informeinmobiliario.com/apartamentos-venta-envigado-barrio-mesa/proyecto/901,$ 932.860.000,96.0,2,2,2025,1,1,Si
Flandes,Apartamentos,La Ceja,Payuco,https://www.informeinmobiliario.com/apartamentos-venta-la-ceja-payuco/proyecto/1320,$ 186.040.000,49.0,1,2,No info,No info,No info,No info
Trópico,Apartamentos,San Antonio de Prado,,https://www.informeinmobiliario.com/apartamentos-venta-san-antonio-de-prado/proyecto/959,$ 183.000.000,45.0,2,2,No info,No info,No info,No info
Naté,Apartamentos,Rionegro,V. Fontibon,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-fontibon/proyecto/738,$ 184.300.000,49.0,2,3,No info,No info,No info,No info
Citrika,Apartamentos,Rionegro,V. Fontibon,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-fontibon/proyecto/1206,$ 184.300.000,48.0,2,3,No info,No info,No info,No info
Vallarta,Apartamentos,La Ceja,Payuco,https://www.informeinmobiliario.com/apartamentos-venta-la-ceja-payuco/proyecto/1293,$ 179.000.000,49.0,2,3,2025-2026,No info,No info,No info
Manantial,Apartamentos,Rionegro,V. Abreo,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-abreo/proyecto/1325,$ 190.755.000,50.0,2,2,2026,No info,1,No info
Campura,Apartamentos,San Antonio de Prado,,https://www.informeinmobiliario.com/apartamentos-venta-san-antonio-de-prado/proyecto/1300,$ 190.170.000,52.0,2,3,No info,No info,No info,No info
Aragua De Primavera,Apartamentos,Caldas,V. Primavera,https://www.informeinmobiliario.com/apartamentos-venta-caldas-v-primavera/proyecto/971,$ 174.000.000,49.0,2,3,No info,No info,No info,No info
Bosque Robledal,Apartamentos,Rionegro,,https://www.informeinmobiliario.com/apartamentos-venta-rionegro/proyecto/1279,$ 190.000.000,49.0,1,2,No info,No info,1,No info
Entrecerros,Apartamentos,Bello,Niquia,https://www.informeinmobiliario.com/apartamentos-venta-bello-niquia/proyecto/1040,$ 186.800.000,49.0,2,3,No info,No info,No info,No info
Luna Del Viento,Apartamentos,Medellín,Robledo,https://www.informeinmobiliario.com/apartamentos-venta-medellin-robledo/proyecto/970,$ 174.000.000,51.0,2,3,No info,No info,No info,No info
Ryos,Apartamentos,Rionegro,V. Cimarronas (Rionegro),https://www.informeinmobiliario.com/apartamentos-venta-rionegro-v-cimarronas-rionegro/proyecto/1283,$ 179.000.000,50.0,2,3,No info,No info,No info,No info
Néo,Apartamentos,Marinilla,La Dalia,https://www.informeinmobiliario.com/apartamentos-venta-marinilla-la-dalia/proyecto/1139,$ 172.260.000,50.0,2,3,No info,No info,No info,No info
Rosales,Apartamentos,La Ceja,,https://www.informeinmobiliario.com/apartamentos-venta-la-ceja/proyecto/1461,$ 170.000.000,57.0,2,3,No info,No info,No info,No info
Living 97,Apartamentos,Medellín,,https://www.informeinmobiliario.com/apartamentos-venta-medellin/proyecto/1271,$ 169.730.000,35.0,2,1,No info,No info,No info,No info
Solei,Apartamentos,Bello,Santa Ana,https://www.informeinmobiliario.com/apartamentos-venta-bello-santa-ana/proyecto/1129,$ 202.954.000,52.0,2,3,No info,No info,No info,No info
Puerto Paraiso,Apartamentos,Bello,Santa Ana,https://www.informeinmobiliario.com/apartamentos-venta-bello-santa-ana/proyecto/990,$ 201.914.000,54.0,2,3,No info,No info,1,No info
Allegro,Apartamentos,Copacabana,Machado,https://www.informeinmobiliario.com/apartamentos-venta-copacabana-machado/proyecto/981,$ 169.360.000,53.0,2,2,No info,No info,No info,No info
Puerto Vallarta,Apartamentos,Bello,Santa Ana,https://www.informeinmobiliario.com/apartamentos-venta-bello-santa-ana/proyecto/1296,$ 201.700.000,54.0,2,3,No info,No info,No info,No info
Plaza Kahuana,Apartamentos,Copacabana,Simón Bolívar,https://www.informeinmobiliario.com/apartamentos-venta-copacabana-simon-bolivar/proyecto/1308,$ 201.900.000,54.0,2,3,2025-2026,No info,No info,No info
San Agustín,Apartamentos,Bello,Machado,https://www.informeinmobiliario.com/apartamentos-venta-bello-machado/proyecto/1335,$ 201.600.000,49.0,2,3,No info,No info,No info,No info
La Recoleta,Lotes,La Ceja,,https://www.informeinmobiliario.com/lotes-venta-la-ceja/proyecto/1512,$ 200.000.000,62.0,No info,No info,No info,No info,No info,No info
Verdeventura,Apartamentos,Bello,Santa Ana,https://www.informeinmobiliario.com/apartamentos-venta-bello-santa-ana/proyecto/1383,$ 199.500.000,52.0,2,2,No info,No info,1,No info
Ciudadela San Miguel,Apartamentos,Caldas,V. La Raya,https://www.informeinmobiliario.com/apartamentos-venta-caldas-v-la-raya/proyecto/1159,$ 203.580.020,50.0,2,2,2025-2026,No info,1,No info
Calasanz Reservado,Apartamentos,Medellín,Calasanz,https://www.informeinmobiliario.com/apartamentos-venta-medellin-calasanz/proyecto/1298,$ 203.345.100,47.0,2,2,2026,No info,No info,No info
Family Lotes,Lotes,El Carmen de Viboral,,https://www.informeinmobiliario.com/lotes-venta-el-carmen-de-viboral/proyecto/1195,$ 194.800.000,72.0,No info,No info,No info,No info,No info,No info
El Bosque,Apartamentos,Bello,Primavera,https://www.informeinmobiliario.com/apartamentos-venta-bello-primavera/proyecto/1240,$ 196.500.000,55.0,2,3,No info,No info,No info,No info
Parque Alto,Apartamentos,Bello,Primavera,https://www.informeinmobiliario.com/apartamentos-venta-bello-primavera/proyecto/961,$ 196.500.000,54.0,2,3,No info,No info,No info,No info
Mineratto,Apartamentos,Bello,Riachuelos,https://www.informeinmobiliario.com/apartamentos-venta-bello-riachuelos/proyecto/1358,$ 196.500.000,51.0,2,2,2025,No info,1,No info
Villa Gabriela,Apartamentos,San Antonio de Prado,,https://www.informeinmobiliario.com/apartamentos-venta-san-antonio-de-prado/proyecto/1122,$ 193.000.000,48.0,2,2,No info,No info,No info,No info
Fragua,Apartamentos,Bello,Terrasol,https://www.informeinmobiliario.com/apartamentos-venta-bello-terrasol/proyecto/1291,$ 192.500.000,52.0,2,3,No info,No info,No info,No info
Natal,Apartamentos,La Estrella,Inmaculada 1,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-inmaculada-1/proyecto/1111,$ 191.853.000,50.0,2,2,No info,1,No info,No info
Entre Soles,Apartamentos,Bello,San Gabriel,https://www.informeinmobiliario.com/apartamentos-venta-bello-san-gabriel/proyecto/1432,$ 206.000.000,56.0,2,3,Lanzamiento,No info,1,No info
Panorama Boreal,Apartamentos,La Estrella,Tablaza,https://www.informeinmobiliario.com/apartamentos-venta-la-estrella-tablaza/proyecto/409,$ 206.712.000,50.0,2,3,2025,No info,No info,No info
Jardines Del Carmen,Lotes,El Carmen de Viboral,,https://www.informeinmobiliario.com/lotes-venta-el-carmen-de-viboral/proyecto/831,$ 205.260.253,84.0,No info,No info,No info,No info,No info,No info
Kaizen,Apartamentos,Rionegro,Nueva Vía al Tanque,https://www.informeinmobiliario.com/apartamentos-venta-rionegro-nueva-via-al-tanque/proyecto/1422,$ 206.000.000,48.0,2,3,No info,No info,No info,No info
Sonatto,Apartamentos,Copacabana,Machado,https://www.informeinmobiliario.com/apartamentos-venta-copacabana-machado/proyecto/1306,$ 205.500.000,55.0,2,2,No info,No info,No info,No info
Primitiv,Apartamentos,La Ceja,,https://www.informeinmobiliario.com/apartamentos-venta-la-ceja/proyecto/1085,$ 205.000.000,51.0,2,2,No info,No info,No info,No info
Rincón del Valle,Apartamentos,Medellín,Robledo,https://www.informeinmobiliario.com/apartamentos-venta-medellin-robledo/proyecto/1343,$ 214.000.000,49.0,2,2,2026,No info,No info,No info
Arboleda de Sion,Apartamentos,Copacabana,Machado,https://www.informeinmobiliario.com/apartamentos-venta-copacabana-machado/proyecto/1310,$ 213.000.000,55.0,2,3,2026,No info,No info,No info
Arboleda de Sion,Apartamentos,Copacabana,Machado,https://www.informeinmobiliario.com/apartamentos-venta-copacabana-machado/proyecto/1310,$ 258.020.000,59.0,2,3,2026,No info,No info,No info
